Name,English,Command
head,Output the first 10 lines of a file,head path/to/file
head,Output the first 5 lines of multiple files,head [-5|--lines 5] path/to/file1 path/to/file2 ...
head,Output the first `n` lines of a file,head [-n|--lines] n path/to/file
head,Output the first `n` bytes of a file,head [-c|--bytes] n path/to/file
system_profiler,"Display a report with specific details level (mini [no personal information], basic, or full)",system_profiler -detailLevel level
system_profiler,Display a full system profiler report which can be opened by `System Profiler.app`,system_profiler -xml > MyReport.spx
system_profiler,"Display a hardware overview (Model, CPU, Memory, Serial, etc) and software data (System, Kernel, Name, Uptime, etc)",system_profiler SPHardwareDataType SPSoftwareDataType
system_profiler,Print the system serial number,"system_profiler SPHardwareDataType|grep ""Serial Number (system)"" | awk '{ print $4 }'"
pmset,Display the current power management settings,pmset -g
pmset,Display the current power source and battery levels,pmset -g batt
pmset,Put display to sleep immediately,pmset displaysleepnow
pmset,Set display to never sleep when on charger power,sudo pmset -c displaysleep 0
pmset,Set display to sleep after 15 minutes when on battery power,sudo pmset -b displaysleep 15
pmset,Schedule computer to automatically wake up every weekday at 9 AM,sudo pmset repeat wake MTWRF 09:00:00
pmset,Restore to system defaults,sudo pmset -a displaysleep 10 disksleep 10 sleep 30 womp 1
ps,List all running processes,ps aux
ps,List all running processes including the full command string,ps auxww
ps,Search for a process that matches a string,ps aux | grep string
ps,Get the parent PID of a process,ps -o ppid= -p pid
ps,Sort processes by memory usage,ps -m
ps,Sort processes by CPU usage,ps -r
open,Open a file with the associated application,open file.ext
open,Run a graphical macOS [a]pplication,"open -a ""Application"""
open,Run a graphical macOS app based on the [b]undle identifier (refer to `osascript` for an easy way to get this),open -b com.domain.application
open,Open the current directory in Finder,open .
open,[R]eveal a file in Finder,open -R path/to/file
open,Open all the files of a given extension in the current directory with the associated application,open *.ext
open,Open a [n]ew instance of an application specified via [b]undle identifier,open -n -b com.domain.application
stat,"Show file properties such as size, permissions, creation date, and access date among others",stat path/to/file
stat,Same as above but verbose (more similar to Linux's `stat`),stat -x path/to/file
stat,Show only octal file permissions,stat -f %Mp%Lp path/to/file
stat,Show owner and group of the file,"stat -f ""%Su %Sg"" path/to/file"
stat,Show the size of the file in bytes,"stat -f ""%z %N"" path/to/file"
defaults,Read system defaults for an application option,"defaults read ""application"" ""option"""
defaults,Read default values for an application option,"defaults read -app ""application"" ""option"""
defaults,"Search for a keyword in domain names, keys, and values","defaults find ""keyword"""
defaults,Write the default value of an application option,"defaults write ""application"" ""option"" -type value"
defaults,Speed up Mission Control animations,defaults write com.apple.Dock expose-animation-duration -float 0.1
defaults,Delete all defaults of an application,"defaults delete ""application"""
textutil,Display information about `file.rtf`,textutil -info path/to/file.rtf
textutil,Convert `file.rtf` into `file.html`,textutil -convert html path/to/file.rtf
textutil,Convert rich text to normal text,textutil path/to/file.rtf -convert txt
textutil,"Convert `file.txt` into `file.rtf`, using Times 10 for the font",textutil -convert rtf -font Times -fontsize 10 path/to/file.txt
textutil,"Load all RTF files in the current directory, concatenates their contents, and writes the result out as `index.html` with the HTML title set to ""Several Files""","textutil -cat html -title ""Several Files"" -output path/to/index.html *.rtf"
mdfind,Find a file by its name,mdfind -name file
mdfind,Find a file by its content,"mdfind ""query"""
mdfind,"Find a file containing a string, in a given directory","mdfind -onlyin directory ""query"""
diskutil,"List all currently available disks, partitions, and mounted volumes",diskutil list
diskutil,Repair the filesystem data structures of a volume,diskutil repairVolume /dev/disk
diskutil,Unmount a volume,diskutil unmountDisk /dev/disk
diskutil,Eject a CD/DVD (unmount first),diskutil eject /dev/diskX
netstat,Display the PID and program name listening on a specific protocol,netstat -p protocol
netstat,Print the routing table and do not resolve IP addresses to hostnames,netstat -nr
netstat,Print the routing table of IPv4 addresses,netstat -nr -f inet
uptime,"Print current time, uptime, number of logged-in users, and other information",uptime
date,Display the current date using the default locale's format,date +%c
date,Display the current date in UTC and ISO 8601 format,date -u +%Y-%m-%dT%H:%M:%SZ
date,Display the current date as a Unix timestamp (seconds since the Unix epoch),date +%s
date,Display a specific date (represented as a Unix timestamp) using the default format,date -r 1473305798
date,Display a date relative to the current date using the default format,date -v +1d -v -20m
ping,Ping the specified host,"ping ""hostname"""
ping,Ping a host a specific number of times,"ping -c count ""host"""
ping,"Ping a host, specifying the interval in seconds between requests (default is 1 second)","ping -i seconds ""host"""
ping,Ping a host without trying to lookup symbolic names for addresses,"ping -n ""host"""
ping,Ping a host and ring the bell when a packet is received (if your terminal supports it),"ping -a ""host"""
ping,Ping a host and prints the time a packet was received (this option is an Apple addition),"ping --apple-time ""host"""
launchctl,Activate a user-specific agent to be loaded into `launchd` whenever the user logs in,launchctl load ~/Library/LaunchAgents/my_script.plist
launchctl,Activate an agent which requires root privileges to run and/or should be loaded whenever any user logs in (note the absence of `~` in the path),sudo launchctl load /Library/LaunchAgents/root_script.plist
launchctl,Activate a system-wide daemon to be loaded whenever the system boots up (even if no user logs in),sudo launchctl load /Library/LaunchDaemons/system_daemon.plist
launchctl,"Show all loaded agents/daemons, with the PID if the process they specify is currently running, and the exit code returned the last time they ran",launchctl list
launchctl,"Unload a currently loaded agent, e.g. to make changes (Note: The plist file is automatically loaded into `launchd` after a reboot and/or logging in)",launchctl unload ~/Library/LaunchAgents/my_script.plist
launchctl,"Manually run a known (loaded) agent/daemon, even if it is not the right time (Note: This command uses the agent's label, rather than the filename)",launchctl start script_file
launchctl,"Manually kill the process associated with a known agent/daemon, if it is running",launchctl stop script_file
qlmanage,Display QuickLook for one or multiple files,qlmanage -p path/to/file1 path/to/file2 ...
qlmanage,Compute 300px wide PNG thumbnails of all JPEGs in the current directory and put them in a directory,qlmanage *.jpg -t -s 300 path/to/directory
qlmanage,Reset QuickLook,qlmanage -r
caffeinate,Prevent the display from sleeping,caffeinate -d
caffeinate,Prevent from sleeping for 1 hour (3600 seconds),caffeinate -u -t 3600
caffeinate,"Fork a process, exec ""make"" in it, and prevent sleep as long as that process is running",caffeinate -i make
caffeinate,Prevent from sleeping until a process with the specified PID completes,caffeinate -w pid
caffeinate,Prevent disk from sleeping (use `<Ctrl c>` to exit),caffeinate -m
pbcopy,Place the contents of a specific file in the clipboard,pbcopy < path/to/file
pbcopy,Place the results of a specific command in the clipboard,"find . -type t -name ""*.png"" | pbcopy"
uuidgen,Generate a UUID string,uuidgen
softwareupdate,List all available updates,softwareupdate --list
softwareupdate,Download and install all updates,softwareupdate --install --all
softwareupdate,Download and install all [r]ecommended updates,softwareupdate --install --recommended
softwareupdate,Download and install a specific app,softwareupdate --install update_name
df,Display all filesystems and their disk usage (using 512-byte units),df
df,Use [h]uman-readable units (based on powers of 1024) and display a grand total,df -h -c
df,Use [H]uman-readable units (based on powers of 1000),df [-H|--si]
df,Display the filesystem containing the specified file or directory,df path/to/file_or_directory
df,"Include statistics on the number of free and used [i]nodes, including the filesystem t[Y]pes",df -iY
df,Use [k]ibibyte (1024 byte) units when showing size figures,df -k
df,Display information in a [P]ortable way,df -P
sw_vers,"Print all available information (OS name, version number, and build)",sw_vers
sw_vers,Print only the version number of the operating system,sw_vers -productVersion
sw_vers,Print only the build identifier,sw_vers -buildVersion
wc,Count lines in file,wc -l path/to/file
wc,Count words in file,wc -w path/to/file
wc,Count characters (bytes) in file,wc -c path/to/file
