Base_TLDR_Command,Target_Command,Tool,Category,User_Query,Original_TLDR_Desc
head path/to/file,head /var/log/system.log,head,Lazy (1-3 words),head log,Output the first 10 lines of a file
head path/to/file,head ~/.zshrc,head,Power (2-5 words),head config profile,Output the first 10 lines of a file
head path/to/file,head /etc/hosts,head,Direct (4-6 words),show first 10 entries hosts,Output the first 10 lines of a file
head path/to/file,head ~/Documents/important_notes.md,head,Noob (Full sentence),how do I see the very beginning of my important notes file?,Output the first 10 lines of a file
head path/to/file,head /var/log/startup.log,head,ChatGPT-style (Full sentence),What is the command to display the first ten lines of the `startup.log` file?,Output the first 10 lines of a file
head path/to/file,head ~/Scripts/backup.sh,head,Broken English (3-6 words),show first lines script file,Output the first 10 lines of a file
head [-5|--lines 5] path/to/file1 path/to/file2 ...,head -5 /var/log/install.log,head,Lazy (1-3 words),first 5 log,Output the first 5 lines of multiple files
head [-5|--lines 5] path/to/file1 path/to/file2 ...,head -5 ~/.bash_profile,head,Power (2-5 words),head 5 lines bash_profile,Output the first 5 lines of multiple files
head [-5|--lines 5] path/to/file1 path/to/file2 ...,head -5 ~/Desktop/backup_script.sh,head,Direct (4-6 words),show first 5 lines script,Output the first 5 lines of multiple files
head [-5|--lines 5] path/to/file1 path/to/file2 ...,head -5 ~/Documents/project_report.md,head,Noob (Full sentence),How can I see the very beginning of my important document?,Output the first 5 lines of multiple files
head [-5|--lines 5] path/to/file1 path/to/file2 ...,head -5 ~/Downloads/installation_errors.log,head,ChatGPT-style (Full sentence),What is the command to display the first 5 lines of the installation_errors.log file?,Output the first 5 lines of multiple files
head [-5|--lines 5] path/to/file1 path/to/file2 ...,head -5 ~/Public/shared_notes.txt,head,Broken English (3-6 words),show first 5 lines notes,Output the first 5 lines of multiple files
head [-n|--lines] n path/to/file,head -n 5 ~/.zshrc,head,Lazy (1-3 words),head .zshrc,Output the first `n` lines of a file
head [-n|--lines] n path/to/file,head -n 10 /etc/hosts,head,Power (2-5 words),first 10 lines hosts,Output the first `n` lines of a file
head [-n|--lines] n path/to/file,head -n 20 ~/Library/Logs/DiagnosticReports/log.crash,head,Direct (4-6 words),display top 20 crash log,Output the first `n` lines of a file
head [-n|--lines] n path/to/file,head -n 12 ~/Documents/todo.md,head,Noob (Full sentence),how can i see the first 12 lines of my important todo list?,Output the first `n` lines of a file
head [-n|--lines] n path/to/file,head -n 7 /private/var/log/kern.log,head,ChatGPT-style (Full sentence),what is the command to view only the initial 7 lines of the kern log file?,Output the first `n` lines of a file
head [-n|--lines] n path/to/file,head -n 15 ~/Desktop/setup.sh,head,Broken English (3-6 words),show first 15 lines script,Output the first `n` lines of a file
head [-c|--bytes] n path/to/file,head -c 500 ~/Documents/report.txt,head,Lazy (1-3 words),first 500 report,Output the first `n` bytes of a file
head [-c|--bytes] n path/to/file,head -c 1024 /var/log/install.log,head,Power (2-5 words),head 1024b install.log,Output the first `n` bytes of a file
head [-c|--bytes] n path/to/file,head -c 200 ~/.bash_profile,head,Direct (4-6 words),show first 200 .bash_profile,Output the first `n` bytes of a file
head [-c|--bytes] n path/to/file,head -c 1000 ~/Downloads/large_image.zip,head,Noob (Full sentence),I want to see the first 1000 bytes of the file large_image.zip in my Downloads folder.,Output the first `n` bytes of a file
head [-c|--bytes] n path/to/file,head -c 100 ~/Desktop/config.json,head,ChatGPT-style (Full sentence),What is the command to display the initial 100 bytes of the config.json file on my Desktop?,Output the first `n` bytes of a file
head [-c|--bytes] n path/to/file,head -c 150 /etc/hosts,head,Broken English (3-6 words),show first 150 bytes hosts,Output the first `n` bytes of a file
system_profiler -detailLevel level,system_profiler -detailLevel mini,system_profiler,Lazy (1-3 words),system info mini,"Display a report with specific details level (mini [no personal information], basic, or full)"
system_profiler -detailLevel level,system_profiler -detailLevel basic,system_profiler,Power (2-5 words),sysprof basic report,"Display a report with specific details level (mini [no personal information], basic, or full)"
system_profiler -detailLevel level,system_profiler -detailLevel full,system_profiler,Direct (4-6 words),show full hardware details,"Display a report with specific details level (mini [no personal information], basic, or full)"
system_profiler -detailLevel level,system_profiler -detailLevel mini,system_profiler,Noob (Full sentence),How do I check my Mac's basic information without showing any private data?,"Display a report with specific details level (mini [no personal information], basic, or full)"
system_profiler -detailLevel level,system_profiler -detailLevel basic,system_profiler,ChatGPT-style (Full sentence),Could you provide the command to display a basic overview of my macOS system components?,"Display a report with specific details level (mini [no personal information], basic, or full)"
system_profiler -detailLevel level,system_profiler -detailLevel full,system_profiler,Broken English (3-6 words),display all mac system report,"Display a report with specific details level (mini [no personal information], basic, or full)"
system_profiler -xml > MyReport.spx,system_profiler -xml > report.spx,system_profiler,Lazy (1-3 words),system report,Display a full system profiler report which can be opened by `System Profiler.app`
system_profiler -xml > MyReport.spx,system_profiler -xml > sysinfo.spx,system_profiler,Power (2-5 words),generate xml system profile,Display a full system profiler report which can be opened by `System Profiler.app`
system_profiler -xml > MyReport.spx,system_profiler -xml > ~/Documents/system_profile.spx,system_profiler,Direct (4-6 words),create system profile xml file,Display a full system profiler report which can be opened by `System Profiler.app`
system_profiler -xml > MyReport.spx,system_profiler -xml > ~/Desktop/mac_report.spx,system_profiler,Noob (Full sentence),"I want to save my mac's system information to a file, how do I do that?",Display a full system profiler report which can be opened by `System Profiler.app`
system_profiler -xml > MyReport.spx,system_profiler -xml > hardware.spx,system_profiler,ChatGPT-style (Full sentence),Generate a macOS terminal command to output a full system profile report in XML format to a file named hardware.spx.,Display a full system profiler report which can be opened by `System Profiler.app`
system_profiler -xml > MyReport.spx,system_profiler -xml > ~/Downloads/my_mac_data.spx,system_profiler,Broken English (3-6 words),save system info xml file,Display a full system profiler report which can be opened by `System Profiler.app`
system_profiler SPHardwareDataType SPSoftwareDataType,system_profiler SPHardwareDataType SPSoftwareDataType,system_profiler,Lazy (1-3 words),system info,"Display a hardware overview (Model, CPU, Memory, Serial, etc) and software data (System, Kernel, Name, Uptime, etc)"
system_profiler SPHardwareDataType SPSoftwareDataType,system_profiler SPHardwareDataType SPSoftwareDataType,system_profiler,Power (2-5 words),macOS system profile,"Display a hardware overview (Model, CPU, Memory, Serial, etc) and software data (System, Kernel, Name, Uptime, etc)"
system_profiler SPHardwareDataType SPSoftwareDataType,system_profiler SPHardwareDataType SPSoftwareDataType,system_profiler,Direct (4-6 words),display mac hardware software details,"Display a hardware overview (Model, CPU, Memory, Serial, etc) and software data (System, Kernel, Name, Uptime, etc)"
system_profiler SPHardwareDataType SPSoftwareDataType,system_profiler SPHardwareDataType SPSoftwareDataType,system_profiler,Noob (Full sentence),how can I see what kind of computer I have and what software it's running?,"Display a hardware overview (Model, CPU, Memory, Serial, etc) and software data (System, Kernel, Name, Uptime, etc)"
system_profiler SPHardwareDataType SPSoftwareDataType,system_profiler SPHardwareDataType SPSoftwareDataType,system_profiler,ChatGPT-style (Full sentence),what is the terminal command to view my mac's hardware and software specifications?,"Display a hardware overview (Model, CPU, Memory, Serial, etc) and software data (System, Kernel, Name, Uptime, etc)"
system_profiler SPHardwareDataType SPSoftwareDataType,system_profiler SPHardwareDataType SPSoftwareDataType,system_profiler,Broken English (3-6 words),show mac hardware software data,"Display a hardware overview (Model, CPU, Memory, Serial, etc) and software data (System, Kernel, Name, Uptime, etc)"
"system_profiler SPHardwareDataType|grep ""Serial Number (system)"" | awk '{ print $4 }'","system_profiler SPHardwareDataType|grep ""Serial Number (system)"" | awk '{ print $4 }'",system_profiler,Lazy (1-3 words),system serial number,Print the system serial number
"system_profiler SPHardwareDataType|grep ""Serial Number (system)"" | awk '{ print $4 }'","system_profiler SPHardwareDataType|grep ""Serial Number (system)"" | awk '{ print $4 }'",system_profiler,Power (2-5 words),macOS hardware serial lookup,Print the system serial number
"system_profiler SPHardwareDataType|grep ""Serial Number (system)"" | awk '{ print $4 }'","system_profiler SPHardwareDataType|grep ""Serial Number (system)"" | awk '{ print $4 }'",system_profiler,Direct (4-6 words),show apple computer serial number,Print the system serial number
"system_profiler SPHardwareDataType|grep ""Serial Number (system)"" | awk '{ print $4 }'","system_profiler SPHardwareDataType|grep ""Serial Number (system)"" | awk '{ print $4 }'",system_profiler,Noob (Full sentence),how do I find my macbook's unique serial number using the terminal?,Print the system serial number
"system_profiler SPHardwareDataType|grep ""Serial Number (system)"" | awk '{ print $4 }'","system_profiler SPHardwareDataType|grep ""Serial Number (system)"" | awk '{ print $4 }'",system_profiler,ChatGPT-style (Full sentence),can you provide the terminal command to display the system's serial number?,Print the system serial number
"system_profiler SPHardwareDataType|grep ""Serial Number (system)"" | awk '{ print $4 }'","system_profiler SPHardwareDataType|grep ""Serial Number (system)"" | awk '{ print $4 }'",system_profiler,Broken English (3-6 words),get mac serial number,Print the system serial number
pmset -g,pmset -g,pmset,Lazy (1-3 words),power settings,Display the current power management settings
pmset -g,pmset -g,pmset,Power (2-5 words),display power config,Display the current power management settings
pmset -g,pmset -g,pmset,Direct (4-6 words),show current mac power settings,Display the current power management settings
pmset -g,pmset -g,pmset,Noob (Full sentence),how do I see what my laptop's power settings are right now?,Display the current power management settings
pmset -g,pmset -g,pmset,ChatGPT-style (Full sentence),what is the command to view my current power management settings on macOS?,Display the current power management settings
pmset -g,pmset -g,pmset,Broken English (3-6 words),show power setting mac,Display the current power management settings
pmset -g batt,pmset -g batt,pmset,Lazy (1-3 words),battery status,Display the current power source and battery levels
pmset -g batt,pmset -g batt,pmset,Power (2-5 words),display current power info,Display the current power source and battery levels
pmset -g batt,pmset -g batt,pmset,Direct (4-6 words),show macbook battery level now,Display the current power source and battery levels
pmset -g batt,pmset -g batt,pmset,Noob (Full sentence),how can I check my laptop's current battery percentage and power source?,Display the current power source and battery levels
pmset -g batt,pmset -g batt,pmset,ChatGPT-style (Full sentence),what is the command to view the current battery status and power source on a macOS device?,Display the current power source and battery levels
pmset -g batt,pmset -g batt,pmset,Broken English (3-6 words),show battery level mac,Display the current power source and battery levels
