tier,source_tools,source_commands,combined_command_template,combination_description,is_valid_combination,category,input_nl,target_command
T1xT1,awk+cat,awk 'NR%3==1' path/to/file | cat path/to/file,awk 'NR%3==1' data.txt | cat data.txt,filter every third line from a file and display the full file content,True,Lazy,awk cat every third line,awk 'NR%3==1' notes.txt | cat notes.txt
T1xT1,awk+cat,awk 'NR%3==1' path/to/file | cat path/to/file,awk 'NR%3==1' data.txt | cat data.txt,filter every third line from a file and display the full file content,True,Power,extract every third line via awk and print full file,awk 'NR%3==1' logs.txt | cat logs.txt
T1xT1,awk+cat,awk 'NR%3==1' path/to/file | cat path/to/file,awk 'NR%3==1' data.txt | cat data.txt,filter every third line from a file and display the full file content,True,Direct,show every third line and also the whole file,awk 'NR%3==1' script.py | cat script.py
T1xT1,awk+cat,awk 'NR%3==1' path/to/file | cat path/to/file,awk 'NR%3==1' data.txt | cat data.txt,filter every third line from a file and display the full file content,True,Noob,how can i see the file but only print out lines that are every third one?,awk 'NR%3==1' readme.md | cat readme.md
T1xT1,awk+cat,awk 'NR%3==1' path/to/file | cat path/to/file,awk 'NR%3==1' data.txt | cat data.txt,filter every third line from a file and display the full file content,True,ChatGPT-style,can you help me print the whole file and also filter it to every third line?,awk 'NR%3==1' config.json | cat config.json
T1xT1,awk+cat,awk 'NR%3==1' path/to/file | cat path/to/file,awk 'NR%3==1' data.txt | cat data.txt,filter every third line from a file and display the full file content,True,Broken English,file show every third line,awk 'NR%3==1' data.csv | cat data.csv
T1xT1,awk+cat,awk 'NR%3==1' path/to/file | cat path/to/file,awk 'NR%3==1' data.txt | cat data.txt,filter every third line from a file and display the full file content,True,Lazy,awk cat line 3,awk 'NR%3==1' notes.txt | cat notes.txt
T1xT1,awk+cat,awk 'NR%3==1' path/to/file | cat path/to/file,awk 'NR%3==1' data.txt | cat data.txt,filter every third line from a file and display the full file content,True,Power,awk filter step 3 then cat,awk 'NR%3==1' output.txt | cat output.txt
T1xT1,awk+cat,awk 'NR%3==1' path/to/file | cat path/to/file,awk 'NR%3==1' data.txt | cat data.txt,filter every third line from a file and display the full file content,True,Direct,display full text and select every third line,awk 'NR%3==1' readme.md | cat readme.md
T1xT1,awk+cat,awk 'NR%3==1' path/to/file | cat path/to/file,awk 'NR%3==1' data.txt | cat data.txt,filter every third line from a file and display the full file content,True,Noob,i want to see the text but only grab the lines that are spaced out,awk 'NR%3==1' script.py | cat script.py
T1xT1,awk+cat,awk 'NR%3==1' path/to/file | cat path/to/file,awk 'NR%3==1' data.txt | cat data.txt,filter every third line from a file and display the full file content,True,ChatGPT-style,please output the entire file and also show me every third line,awk 'NR%3==1' config.json | cat config.json
T1xT1,awk+cat,awk 'NR%3==1' path/to/file | cat path/to/file,awk 'NR%3==1' data.txt | cat data.txt,filter every third line from a file and display the full file content,True,Broken English,print whole file and filter line 3,awk 'NR%3==1' data.csv | cat data.csv
T1xT1,awk+fd,"awk 'NR%3==1' path/to/file | fd ""^string""","fd ""^string"" | awk 'NR%3==1'",find files matching a pattern and output every third match,True,Lazy,fd string | awk 3,"fd ""^log"" | awk 'NR%3==1'"
T1xT1,awk+fd,"awk 'NR%3==1' path/to/file | fd ""^string""","fd ""^string"" | awk 'NR%3==1'",find files matching a pattern and output every third match,True,Power,find files starting with prefix and select every third line,"fd ""^img"" | awk 'NR%3==1'"
T1xT1,awk+fd,"awk 'NR%3==1' path/to/file | fd ""^string""","fd ""^string"" | awk 'NR%3==1'",find files matching a pattern and output every third match,True,Direct,find files that start with config and print every third one,"fd ""^conf"" | awk 'NR%3==1'"
T1xT1,awk+fd,"awk 'NR%3==1' path/to/file | fd ""^string""","fd ""^string"" | awk 'NR%3==1'",find files matching a pattern and output every third match,True,Noob,how do i look for files named project and only see every third result?,"fd ""^proj"" | awk 'NR%3==1'"
T1xT1,awk+fd,"awk 'NR%3==1' path/to/file | fd ""^string""","fd ""^string"" | awk 'NR%3==1'",find files matching a pattern and output every third match,True,ChatGPT-style,can you find files that start with data and then filter the list to every third file?,"fd ""^data"" | awk 'NR%3==1'"
T1xT1,awk+fd,"awk 'NR%3==1' path/to/file | fd ""^string""","fd ""^string"" | awk 'NR%3==1'",find files matching a pattern and output every third match,True,Broken English,find files starting with test and print every third line,"fd ""^test"" | awk 'NR%3==1'"
T1xT1,awk+fd,"awk 'NR%3==1' path/to/file | fd ""^string""","fd ""^string"" | awk 'NR%3==1'",find files matching a pattern and output every third match,True,Lazy,fd text | awk 3,"fd ""^txt"" | awk 'NR%3==1'"
T1xT1,awk+fd,"awk 'NR%3==1' path/to/file | fd ""^string""","fd ""^string"" | awk 'NR%3==1'",find files matching a pattern and output every third match,True,Power,search files matching regex and print every third occurrence,"fd ""^src"" | awk 'NR%3==1'"
T1xT1,awk+fd,"awk 'NR%3==1' path/to/file | fd ""^string""","fd ""^string"" | awk 'NR%3==1'",find files matching a pattern and output every third match,True,Direct,list files beginning with report and show every third result,"fd ""^rep"" | awk 'NR%3==1'"
T1xT1,awk+fd,"awk 'NR%3==1' path/to/file | fd ""^string""","fd ""^string"" | awk 'NR%3==1'",find files matching a pattern and output every third match,True,Noob,i need to find files named backup but only get every third one back,"fd ""^bak"" | awk 'NR%3==1'"
T1xT1,awk+fd,"awk 'NR%3==1' path/to/file | fd ""^string""","fd ""^string"" | awk 'NR%3==1'",find files matching a pattern and output every third match,True,ChatGPT-style,what is the best way to find files with the pattern secret and get every third line?,"fd ""^sec"" | awk 'NR%3==1'"
T1xT1,awk+fd,"awk 'NR%3==1' path/to/file | fd ""^string""","fd ""^string"" | awk 'NR%3==1'",find files matching a pattern and output every third match,True,Broken English,find files start with cache and show every third,"fd ""^cache"" | awk 'NR%3==1'"
T1xT1,awk+bat,awk 'NR%3==1' path/to/file | bat path/to/file1 path/to/file2 ...,awk 'NR%3==1' path/to/logfile | bat,filter a file to only include every third line and display the output with syntax highlighting,True,Lazy,awk bat logs,awk 'NR%3==1' ~/logs.txt | bat
T1xT1,awk+bat,awk 'NR%3==1' path/to/file | bat path/to/file1 path/to/file2 ...,awk 'NR%3==1' path/to/logfile | bat,filter a file to only include every third line and display the output with syntax highlighting,True,Power,print every third line from source and pipe to pretty printer,awk 'NR%3==1' /var/log/system.log | bat
T1xT1,awk+bat,awk 'NR%3==1' path/to/file | bat path/to/file1 path/to/file2 ...,awk 'NR%3==1' path/to/logfile | bat,filter a file to only include every third line and display the output with syntax highlighting,True,Direct,show every third line of the source file with syntax highlighting,awk 'NR%3==1' ~/Desktop/data.csv | bat
T1xT1,awk+bat,awk 'NR%3==1' path/to/file | bat path/to/file1 path/to/file2 ...,awk 'NR%3==1' path/to/logfile | bat,filter a file to only include every third line and display the output with syntax highlighting,True,Noob,can you grab every third line from the text file and make it look nice?,awk 'NR%3==1' ./notes.txt | bat
T1xT1,awk+bat,awk 'NR%3==1' path/to/file | bat path/to/file1 path/to/file2 ...,awk 'NR%3==1' path/to/logfile | bat,filter a file to only include every third line and display the output with syntax highlighting,True,ChatGPT-style,please display every third line of the file using a pretty formatter,awk 'NR%3==1' ~/.bash_history | bat
T1xT1,awk+bat,awk 'NR%3==1' path/to/file | bat path/to/file1 path/to/file2 ...,awk 'NR%3==1' path/to/logfile | bat,filter a file to only include every third line and display the output with syntax highlighting,True,Broken English,every third line source file bat view,awk 'NR%3==1' /tmp/output.txt | bat
T1xT1,awk+bat,awk 'NR%3==1' path/to/file | bat path/to/file1 path/to/file2 ...,awk 'NR%3==1' path/to/logfile | bat,filter a file to only include every third line and display the output with syntax highlighting,True,Lazy,awk bat json,awk 'NR%3==1' config.json | bat
T1xT1,awk+bat,awk 'NR%3==1' path/to/file | bat path/to/file1 path/to/file2 ...,awk 'NR%3==1' path/to/logfile | bat,filter a file to only include every third line and display the output with syntax highlighting,True,Power,apply pattern matching and format output with bat,awk 'NR%3==1' server.log | bat
T1xT1,awk+bat,awk 'NR%3==1' path/to/file | bat path/to/file1 path/to/file2 ...,awk 'NR%3==1' path/to/logfile | bat,filter a file to only include every third line and display the output with syntax highlighting,True,Direct,filter the file to every third line and pretty print it,awk 'NR%3==1' ./report.txt | bat
T1xT1,awk+bat,awk 'NR%3==1' path/to/file | bat path/to/file1 path/to/file2 ...,awk 'NR%3==1' path/to/logfile | bat,filter a file to only include every third line and display the output with syntax highlighting,True,Noob,i want to see every third line from the readme file formatted,awk 'NR%3==1' README.md | bat
T1xT1,awk+bat,awk 'NR%3==1' path/to/file | bat path/to/file1 path/to/file2 ...,awk 'NR%3==1' path/to/logfile | bat,filter a file to only include every third line and display the output with syntax highlighting,True,ChatGPT-style,what is the best way to read every third line of the text file with colors?,awk 'NR%3==1' notes.txt | bat
T1xT1,awk+bat,awk 'NR%3==1' path/to/file | bat path/to/file1 path/to/file2 ...,awk 'NR%3==1' path/to/logfile | bat,filter a file to only include every third line and display the output with syntax highlighting,True,Broken English,every third line file bat read,awk 'NR%3==1' /dev/stdin | bat
T1xT1,awk+dig,awk 'NR%3==1' path/to/file | dig -x 8.8.8.8,awk 'NR%3==1' path/to/file | dig -x,filter a file by every third line and perform a reverse DNS lookup on the results,True,Lazy,awk dig 1.2.3.4,awk 'NR%3==1' ip_list.txt | dig -x 1.2.3.4
T1xT1,awk+dig,awk 'NR%3==1' path/to/file | dig -x 8.8.8.8,awk 'NR%3==1' path/to/file | dig -x,filter a file by every third line and perform a reverse DNS lookup on the results,True,Power,pipe awk filtered lines to dig for PTR,awk 'NR%3==1' /etc/hosts | dig -x 192.168.1.1
T1xT1,awk+dig,awk 'NR%3==1' path/to/file | dig -x 8.8.8.8,awk 'NR%3==1' path/to/file | dig -x,filter a file by every third line and perform a reverse DNS lookup on the results,True,Direct,extract every third line from the log and resolve the IP address,awk 'NR%3==1' access.log | dig -x 127.0.0.1
T1xT1,awk+dig,awk 'NR%3==1' path/to/file | dig -x 8.8.8.8,awk 'NR%3==1' path/to/file | dig -x,filter a file by every third line and perform a reverse DNS lookup on the results,True,Noob,hey i want to pick every 3rd line from this list and look up the domain name,awk 'NR%3==1' my_data.txt | dig -x 10.0.0.5
T1xT1,awk+dig,awk 'NR%3==1' path/to/file | dig -x 8.8.8.8,awk 'NR%3==1' path/to/file | dig -x,filter a file by every third line and perform a reverse DNS lookup on the results,True,ChatGPT-style,please help me filter a text file to show only every third item and then run a reverse dns lookup on the output,awk 'NR%3==1' hosts.txt | dig -x 8.8.8.8
T1xT1,awk+dig,awk 'NR%3==1' path/to/file | dig -x 8.8.8.8,awk 'NR%3==1' path/to/file | dig -x,filter a file by every third line and perform a reverse DNS lookup on the results,True,Broken English,show every third line then check ip,awk 'NR%3==1' data.csv | dig -x 172.16.0.1
T1xT1,awk+dig,awk 'NR%3==1' path/to/file | dig -x 8.8.8.8,awk 'NR%3==1' path/to/file | dig -x,filter a file by every third line and perform a reverse DNS lookup on the results,True,Lazy,awk dig ptr,awk 'NR%3==1' list.txt | dig -x 203.0.113.0
T1xT1,awk+dig,awk 'NR%3==1' path/to/file | dig -x 8.8.8.8,awk 'NR%3==1' path/to/file | dig -x,filter a file by every third line and perform a reverse DNS lookup on the results,True,Power,execute awk filter and dig reverse lookup,awk 'NR%3==1' /var/log/syslog | dig -x 198.51.100.0
T1xT1,awk+dig,awk 'NR%3==1' path/to/file | dig -x 8.8.8.8,awk 'NR%3==1' path/to/file | dig -x,filter a file by every third line and perform a reverse DNS lookup on the results,True,Direct,"get the third, sixth, and ninth lines from the file and find the hostname",awk 'NR%3==1' raw.txt | dig -x 45.33.32.156
T1xT1,awk+dig,awk 'NR%3==1' path/to/file | dig -x 8.8.8.8,awk 'NR%3==1' path/to/file | dig -x,filter a file by every third line and perform a reverse DNS lookup on the results,True,Noob,how do i scan this file for every third entry and see who owns the ip?,awk 'NR%3==1' dummy.txt | dig -x 2606:4700:4700::1111
T1xT1,awk+dig,awk 'NR%3==1' path/to/file | dig -x 8.8.8.8,awk 'NR%3==1' path/to/file | dig -x,filter a file by every third line and perform a reverse DNS lookup on the results,True,ChatGPT-style,"can you take this file, print every third line, and then perform a reverse DNS lookup on those IPs?",awk 'NR%3==1' input.txt | dig -x 2001:4860:4860::8888
T1xT1,awk+dig,awk 'NR%3==1' path/to/file | dig -x 8.8.8.8,awk 'NR%3==1' path/to/file | dig -x,filter a file by every third line and perform a reverse DNS lookup on the results,True,Broken English,file third line dig reverse,awk 'NR%3==1' output.txt | dig -x 142.250.185.46
T1xT1,awk+crontab,awk 'NR%3==1' path/to/file | crontab -e,awk 'NR%3==1' ~/.zshrc | crontab -e,filter every third line of a user config file and schedule it for periodic editing,True,Lazy,awk crontab zsh,awk 'NR%3==1' ~/Documents/data.csv | crontab -e
T1xT1,awk+crontab,awk 'NR%3==1' path/to/file | crontab -e,awk 'NR%3==1' ~/.zshrc | crontab -e,filter every third line of a user config file and schedule it for periodic editing,True,Power,filter every third line and schedule cron job,awk 'NR%3==1' /etc/hosts | crontab -e
T1xT1,awk+crontab,awk 'NR%3==1' path/to/file | crontab -e,awk 'NR%3==1' ~/.zshrc | crontab -e,filter every third line of a user config file and schedule it for periodic editing,True,Direct,show every third line of the hosts file and open crontab,awk 'NR%3==1' /etc/hosts | crontab -e
T1xT1,awk+crontab,awk 'NR%3==1' path/to/file | crontab -e,awk 'NR%3==1' ~/.zshrc | crontab -e,filter every third line of a user config file and schedule it for periodic editing,True,Noob,hey i want to see only every third line in this file and then edit my schedule,awk 'NR%3==1' ~/Desktop/logs.txt | crontab -e
T1xT1,awk+crontab,awk 'NR%3==1' path/to/file | crontab -e,awk 'NR%3==1' ~/.zshrc | crontab -e,filter every third line of a user config file and schedule it for periodic editing,True,ChatGPT-style,could you help me output every third line of this file and then open the crontab editor?,awk 'NR%3==1' /var/log/system.log | crontab -e
